dataset,technique,parameter_value,total_gt,total_llm,matched_sum,coverage,hallucinated,precision,recall,f1
Foursquare_NYC,CoreFlow,5.0,19.0,15.0,3.0,0.15789473684210525,12.0,0.2,0.15789473684210525,0.17647058823529413
Foursquare_NYC,CoreFlow,10.0,11.0,8.0,4.0,0.36363636363636365,4.0,0.5,0.36363636363636365,0.4210526315789474
Foursquare_NYC,CoreFlow,15.0,9.0,9.0,2.0,0.2222222222222222,7.0,0.2222222222222222,0.2222222222222222,0.2222222222222222
Foursquare_NYC,CoreFlow,20.0,7.0,8.0,5.0,0.7142857142857143,3.0,0.625,0.7142857142857143,0.6666666666666666
Foursquare_NYC,CoreFlow,25.0,5.0,5.0,3.0,0.6,2.0,0.6,0.6,0.6
Foursquare_NYC,CoreFlow,30.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0
Foursquare_NYC,SentenTree,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foursquare_NYC,SentenTree,10.0,10.0,9.0,3.0,0.3,6.0,0.3333333333333333,0.3,0.3157894736842105
Foursquare_NYC,SentenTree,15.0,9.0,8.0,3.0,0.3333333333333333,5.0,0.375,0.3333333333333333,0.35294117647058826
Foursquare_NYC,SentenTree,20.0,7.0,6.0,2.0,0.2857142857142857,4.0,0.3333333333333333,0.2857142857142857,0.30769230769230765
Foursquare_NYC,SentenTree,25.0,4.0,3.0,1.0,0.25,2.0,0.3333333333333333,0.25,0.28571428571428575
Foursquare_NYC,SentenTree,30.0,3.0,3.0,2.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
Foursquare_NYC,Sequence Synopsis,5.0,16.0,7.0,7.0,0.4375,0.0,1.0,0.4375,0.6086956521739131
Foursquare_NYC,Sequence Synopsis,10.0,20.0,9.0,9.0,0.45,0.0,1.0,0.45,0.6206896551724138
Foursquare_NYC,Sequence Synopsis,15.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,CoreFlow,5.0,6.0,5.0,1.0,0.16666666666666666,4.0,0.2,0.16666666666666666,0.1818181818181818
VAST,CoreFlow,10.0,4.0,3.0,2.0,0.5,1.0,0.6666666666666666,0.5,0.5714285714285715
VAST,SentenTree,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,SentenTree,10.0,16.0,13.0,11.0,0.6875,2.0,0.8461538461538461,0.6875,0.7586206896551724
VAST,SentenTree,15.0,11.0,9.0,8.0,0.7272727272727273,1.0,0.8888888888888888,0.7272727272727273,0.7999999999999999
VAST,SentenTree,20.0,10.0,9.0,8.0,0.8,1.0,0.8888888888888888,0.8,0.8421052631578948
VAST,SentenTree,25.0,8.0,8.0,8.0,1.0,0.0,1.0,1.0,1.0
VAST,Sequence Synopsis,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,20.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAST,Sequence Synopsis,25.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
career,CoreFlow,5.0,23.0,8.0,3.0,0.13043478260869565,5.0,0.375,0.13043478260869565,0.19354838709677416
career,CoreFlow,10.0,19.0,13.0,6.0,0.3157894736842105,7.0,0.46153846153846156,0.3157894736842105,0.37499999999999994
career,CoreFlow,15.0,13.0,11.0,5.0,0.38461538461538464,6.0,0.45454545454545453,0.38461538461538464,0.41666666666666663
career,CoreFlow,20.0,9.0,7.0,5.0,0.5555555555555556,2.0,0.7142857142857143,0.5555555555555556,0.6250000000000001
career,SentenTree,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
